id,features
10,"[-0.05004783347249031, 0.613166093826294, -0.33688291907310486, 0.52731853723526, -0.4948902428150177, -0.49379268288612366, -0.1262543648481369, -0.4335618019104004, -0.4887211322784424, -0.1395636349916458]"
20,"[-0.07445023208856583, 0.2851784825325012, -0.4693399667739868, -0.38762059807777405, -0.6338515281677246, -0.1174447238445282, 0.20417362451553345, -0.8014466762542725, -0.24890756607055664, 0.36400219798088074]"
30,"[1.4444173574447632, 0.9043180346488953, -0.7373826503753662, -0.3456653356552124, 0.04427911713719368, -0.10927656292915344, -0.6192764639854431, -0.3961576819419861, -0.0451902337372303, 0.5083003044128418]"
40,"[1.047422170639038, 0.9428553581237793, -0.32168856263160706, 0.6922622919082642, -0.1884811967611313, -0.036690566688776016, -0.7602435350418091, -0.7415491938591003, 1.0158162117004395, -0.4452833831310272]"
50,"[-0.017234329134225845, 1.4208976030349731, -0.4690841734409332, 0.20618073642253876, -0.40513482689857483, -0.08665774762630463, -0.13966578245162964, -0.20028670132160187, 0.09740510582923889, 0.010380678810179234]"
60,"[0.38371264934539795, 0.6393790245056152, 0.08107095956802368, -0.4598667621612549, -0.23059986531734467, 0.22081002593040466, -0.7601596117019653, -0.8901391625404358, -0.5701891779899597, 0.36945149302482605]"
70,"[-0.11855817586183548, 0.900227427482605, 0.34009313583374023, -0.14861896634101868, -0.14314544200897217, -0.08063037693500519, 1.0835682153701782, -0.8807530999183655, -0.5721390843391418, -0.49918511509895325]"
80,"[0.8446653485298157, 1.2970508337020874, -0.2740122377872467, -0.19217345118522644, -0.45212358236312866, -0.2054949551820755, 0.29948505759239197, -0.09289931505918503, 0.2691994905471802, 0.33849596977233887]"
90,"[-0.0007154405466280878, 1.0449600219726562, -0.1703345775604248, 0.23830954730510712, -0.6755940318107605, 0.280447393655777, -0.42453616857528687, -0.5755218863487244, 0.3853132426738739, 0.7050889134407043]"
100,"[0.7869246006011963, 0.4271274209022522, -0.5429815649986267, 0.11469924449920654, -0.6816747188568115, -0.8329452276229858, -0.002264138078317046, -0.22251328825950623, -0.44885289669036865, 0.3885807693004608]"
110,"[-0.5501866936683655, 1.052554726600647, -0.7323929667472839, -0.06700431555509567, -0.4726713299751282, 0.038557019084692, 0.051628101617097855, -0.4576740860939026, -0.3184081017971039, -0.06077241525053978]"
120,"[-0.15698856115341187, 0.6897717714309692, -0.31629979610443115, -0.06009570509195328, -0.3531751036643982, -0.19006894528865814, -0.1868392676115036, -0.3277323544025421, -0.17901110649108887, -0.15646910667419434]"
130,"[0.6011796593666077, 1.4206820726394653, -0.01740085519850254, 0.14482921361923218, -0.17846356332302094, -0.19851139187812805, 0.13149195909500122, -0.19420580565929413, 0.05145455524325371, 0.5135003328323364]"
140,"[0.20748810470104218, 0.2379392832517624, -0.5745845437049866, -0.40819963812828064, -0.7225513458251953, -0.8252893686294556, -0.7699745893478394, -0.4394891858100891, 0.43383413553237915, 0.03872096911072731]"
150,"[-0.3489988148212433, 0.9283966422080994, -0.17495468258857727, 0.10469553619623184, -0.7427055239677429, -0.06621934473514557, -0.5495061874389648, -0.3071325421333313, -0.3770943284034729, 0.09691070765256882]"
160,"[0.21733255684375763, 0.029160914942622185, -0.031977422535419464, -0.010822592303156853, -0.7663468718528748, -0.8069513440132141, -0.10140785574913025, -0.5435978174209595, -0.2639271020889282, -0.046545613557100296]"
170,"[-0.06064390018582344, 0.3721200227737427, -0.14677831530570984, 0.08806997537612915, -0.5702701210975647, -0.2915451228618622, -0.016617273911833763, -1.3359252214431763, 0.1957545131444931, -0.0037227098364382982]"
180,"[-0.05604955181479454, 0.9027664661407471, -0.4341440200805664, 0.3386993110179901, -0.3733844459056854, -0.5865674018859863, 0.5599163770675659, -0.6057881116867065, 0.867080807685852, -0.5485250949859619]"
