id,features
10,"[-0.18815411627292633, 0.3980417847633362, 0.4417581260204315, -0.6989641189575195, 0.02828703448176384, -0.44449836015701294, -0.36750054359436035, -0.07588797062635422, -0.7225696444511414, 0.2889638841152191]"
20,"[-0.2916702330112457, 0.39180925488471985, -0.23933999240398407, -0.6668262481689453, -0.0630122497677803, 0.2509012818336487, 0.047470152378082275, -0.6221840381622314, -0.5303052067756653, 0.5524469614028931]"
30,"[-0.15932556986808777, 1.0650469064712524, -0.823549747467041, -0.26688846945762634, -0.20862187445163727, 0.006994526833295822, 0.0910787582397461, 0.7161393165588379, -1.1939330101013184, 0.12141505628824234]"
40,"[0.5688132047653198, 0.6850257515907288, 0.3283807635307312, -0.7022571563720703, 0.05995403602719307, 0.4058888256549835, 0.32865801453590393, 0.46100592613220215, -1.1892250776290894, -1.1274586915969849]"
50,"[0.26137569546699524, 0.10741746425628662, 0.28380051255226135, -0.9121529459953308, -0.13018646836280823, 0.08480153977870941, 0.06363968551158905, 0.565762460231781, -1.1546682119369507, 0.46011945605278015]"
60,"[0.2520754635334015, 0.7954497337341309, -0.42579007148742676, -0.5025234818458557, 0.08686698228120804, -0.4254443347454071, 0.11293069273233414, -0.10940039902925491, -0.936371922492981, -0.0026533156633377075]"
70,"[-0.3985518217086792, 0.8255515098571777, 1.2332656383514404, -0.24196942150592804, 0.09274429827928543, 0.4700096547603607, 0.3363026976585388, -0.02137133479118347, -0.33577847480773926, 0.7228845953941345]"
80,"[-0.12693534791469574, 0.8329504132270813, -0.40593740344047546, -0.17477133870124817, -0.03756837546825409, 0.1834571808576584, -0.03896011784672737, 0.7064693570137024, -1.276025414466858, 0.42779654264450073]"
90,"[0.5797274708747864, 0.6272301077842712, -0.24428299069404602, -0.8819406628608704, -0.47273609042167664, 0.46058064699172974, -0.5987449288368225, 0.022020965814590454, -0.8619324564933777, 0.5759240984916687]"
100,"[-0.30449098348617554, 1.0561519861221313, -0.2089357227087021, -0.47938913106918335, -0.16413038969039917, -0.0024819537065923214, -0.6737288236618042, -0.05357535928487778, -0.6979598999023438, 0.7342575788497925]"
110,"[-0.3063579797744751, -0.16125208139419556, 0.31948545575141907, -0.7725679874420166, -0.08877918869256973, -0.05023665353655815, 0.030611800029873848, -0.01631796732544899, -1.2287278175354004, 0.5178965926170349]"
120,"[0.05108778178691864, 0.14982987940311432, 0.3438087999820709, -0.614937961101532, -0.12772688269615173, -0.10397730022668839, 0.07741016894578934, -0.06428951770067215, -0.6549244523048401, 0.28323882818222046]"
