id,features
10,"[0.2168118804693222, 1.2006480693817139, 0.7907420992851257, -2.5537190437316895, 0.020926611497998238, -0.5301461815834045, 0.21365521848201752, -0.3188161551952362, -1.8817939758300781, -0.3604898452758789]"
20,"[0.20809321105480194, 0.8956680297851562, 1.4822309017181396, -1.908551573753357, -0.02041085809469223, 0.09585300087928772, 0.9141364097595215, -0.17122821509838104, -2.386970043182373, -0.33656999468803406]"
30,"[0.16379296779632568, 0.26286977529525757, 0.7188791632652283, -1.9368698596954346, -0.03999355435371399, 0.8074050545692444, 1.032668948173523, -0.4634377360343933, -1.7708617448806763, 0.17716756463050842]"
40,"[0.007984038442373276, 1.251495122909546, 0.8871198296546936, -1.503615379333496, -1.0891118049621582, -0.43637338280677795, -0.03846064582467079, 0.18363825976848602, -1.7184116840362549, 0.6092976331710815]"
50,"[1.0053813457489014, 0.7675292491912842, 0.5265422463417053, -1.7521083354949951, 0.1210767850279808, -0.1320517659187317, 0.34151986241340637, -0.3621721565723419, -1.738183617591858, 0.5665276646614075]"
60,"[0.27808964252471924, 0.6371167898178101, 1.0305358171463013, -1.397733449935913, -0.18072545528411865, -0.24880200624465942, 0.41054102778434753, -1.6300392150878906, -2.3324320316314697, 0.1819753646850586]"
70,"[0.20670676231384277, 0.3518928587436676, 0.6567867398262024, -2.6275336742401123, 0.4523417353630066, 0.19513621926307678, 1.2388720512390137, 0.8274651765823364, -1.7172940969467163, -0.7570982575416565]"
80,"[0.10278536379337311, 0.8265799283981323, -0.23736295104026794, -2.2244179248809814, -0.3640300929546356, -0.3631574213504791, 0.44999784231185913, -0.5853127837181091, -1.7494981288909912, 1.0643376111984253]"
90,"[-0.48008957505226135, 1.3425158262252808, 1.0068728923797607, -1.7423094511032104, -0.27789655327796936, -0.5204498767852783, -0.11664973944425583, 0.3726179897785187, -1.44295334815979, 0.9707892537117004]"
100,"[-0.21187444031238556, 1.12563157081604, 0.5579283833503723, -0.9340900182723999, -0.6506827473640442, -0.2588735520839691, 0.5531933307647705, 0.07051446288824081, -2.001662492752075, -0.18723833560943604]"
110,"[0.5144368410110474, 0.47901812195777893, 0.38924407958984375, -1.409406304359436, -0.8216261863708496, -0.3391414284706116, 0.6665597558021545, 0.5723633766174316, -2.0518221855163574, 1.0728421211242676]"
120,"[-0.9155392050743103, 0.4281550347805023, 0.30940479040145874, -1.3034899234771729, -0.2495887577533722, 0.1997935026884079, 0.6376757621765137, 1.3701673746109009, -2.239598512649536, -0.2211073338985443]"
130,"[-0.38112738728523254, 0.7093813419342041, 1.5635695457458496, -1.61540687084198, -0.35562369227409363, -0.7598468065261841, -1.0823160409927368, 0.5339711904525757, -2.12418532371521, 0.9489262700080872]"
140,"[1.580880880355835, 0.984343409538269, 0.882914662361145, -1.590983271598816, -1.3162531852722168, -0.8655691146850586, 1.2620419263839722, 1.4173442125320435, -0.6911531090736389, 1.1991046667099]"
150,"[0.26735734939575195, 0.85133957862854, 0.36071595549583435, -1.7430661916732788, -0.22361920773983002, -0.12474250793457031, 0.6577996611595154, -0.10337641090154648, -2.148928642272949, 0.545271098613739]"
160,"[0.09215565770864487, 0.9243202805519104, 0.2193225771188736, -1.876112461090088, -0.3637906610965729, 0.19916166365146637, 0.567795991897583, -0.4129665791988373, -1.9842463731765747, -0.25114887952804565]"
170,"[0.029137421399354935, 0.7766517996788025, 0.6790458559989929, -1.237680196762085, -1.0060064792633057, -0.3089551627635956, 0.47251594066619873, 0.48830026388168335, -2.1308891773223877, 0.9121859669685364]"
180,"[-0.4175780713558197, 0.9771206974983215, 0.12160921841859818, -1.0300002098083496, -0.39317625761032104, 0.08639852702617645, 0.3344506621360779, 0.3006504774093628, -2.124643564224243, 1.006653070449829]"
190,"[-0.7161745429039001, 0.41763246059417725, 0.3460862636566162, -0.9900049567222595, 0.38543829321861267, -0.30137839913368225, 0.2105216383934021, 0.633531928062439, -2.6161210536956787, 0.6168659329414368]"
200,"[0.33425453305244446, 0.8233710527420044, 1.5644066333770752, -2.063002586364746, 0.5448744297027588, 0.2534064054489136, 0.6980593204498291, 0.1932334154844284, -1.8406685590744019, -2.228025197982788]"
210,"[-0.06745271384716034, 0.536270797252655, 1.0879848003387451, -2.716580390930176, 0.22759303450584412, 0.19558121263980865, 0.9192312955856323, -0.5609853267669678, -2.3855981826782227, 0.7448556423187256]"
220,"[0.34436002373695374, 1.1763567924499512, 0.8329192399978638, -1.3031666278839111, -0.3816656172275543, -0.7606514692306519, 0.47589409351348877, 0.7800514698028564, -2.1782801151275635, 0.5702243447303772]"
230,"[-0.23091356456279755, 0.9162626266479492, 0.8668317198753357, -1.846143364906311, -0.041885800659656525, -0.1686781644821167, -0.050736282020807266, -0.20739039778709412, -2.526423215866089, 0.4166872203350067]"
